127.0.0.1 - - [07/Apr/2025:08:51:53 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:52:23 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:52:53 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:53:23 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:53:53 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:54:24 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:54:54 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:55:24 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:55:54 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:56:24 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:56:54 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
127.0.0.1 - - [07/Apr/2025:08:57:24 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
172.20.32.1 - - [07/Apr/2025:09:09:42 +0000] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
172.20.32.1 - - [07/Apr/2025:09:09:42 +0000] "GET /favicon.ico HTTP/1.1" 502 559 "http://172.20.36.28:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Apr/2025:09:10:11 +0000] "GET / HTTP/1.1" 502 157 "-" "curl/7.68.0"
172.20.32.1 - - [07/Apr/2025:09:10:13 +0000] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
172.20.32.1 - - [07/Apr/2025:09:10:13 +0000] "GET /favicon.ico HTTP/1.1" 502 559 "http://172.20.36.28:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
172.20.32.1 - - [07/Apr/2025:09:10:13 +0000] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
172.20.32.1 - - [07/Apr/2025:09:10:13 +0000] "GET /favicon.ico HTTP/1.1" 502 559 "http://172.20.36.28:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
